Roll_No,Name,Gender,Department,Semester,Maths,Science,English,Computer,Attendance,Total,Average,Grade,Result
140,Riddhi,Female,AI,5,97,98,96,97,99,388,97.0,A+,Pass
120,Avani,Female,AI,5,96,97,94,99,98,386,96.5,A+,Pass
136,Prisha,Female,AI,5,94,96,97,95,97,382,95.5,A+,Pass
108,Anjali,Female,AI,5,95,94,91,96,94,376,94.0,A+,Pass
104,Neha,Female,AI,5,92,90,96,98,97,376,94.0,A+,Pass
148,Aashi,Female,AI,5,92,94,93,96,96,375,93.75,A+,Pass
128,Shreya,Female,AI,5,93,95,92,94,95,374,93.5,A+,Pass
116,Megha,Female,AI,5,91,93,95,92,96,371,92.75,A+,Pass
132,Ananya,Female,AI,5,90,91,88,93,92,362,90.5,A+,Pass
144,Shruti,Female,AI,5,89,88,90,92,94,359,89.75,A,Pass
